tau_membrane,ref_time,offset_current,current_noise,stim_gain,tau_dentitic,tau_adaptation,delta_adaptation,adapt_noise
37.473198,2.9998207,23.939764,6.360304,-60.042984,10.79011,57.30571,4.408576,46.61327
33.543243,0.89388824,49.94841,12.60496,-74.59211,5.6523323,60.5117,5.8521957,149.65332
8.489885,1.8907084,26.456835,2.920766,-83.738396,3.0568323,267.1589,0.5267306,9.455034
36.536716,0.8923179,34.825268,9.246348,-13.693581,4.3814197,65.02712,2.7695894,22.876194
9.176106,1.462802,28.538172,2.7985163,-66.46729,14.99123,47.371284,5.8222547,26.29773
39.97604,0.42186147,13.459675,3.636584,-32.514725,3.9139056,47.53868,1.3304533,13.483962
32.608604,1.8733059,34.053135,7.286273,-18.454239,7.168932,43.567936,5.276992,27.887
27.486982,0.4342566,28.704546,5.810017,-76.18271,12.476865,52.35009,5.4248786,34.61744
21.19641,0.1185393,39.733177,7.318556,-33.807495,12.109852,45.88495,3.9607313,21.361563
15.380781,0.7301778,13.027194,3.0904613,-32.868484,8.13459,41.31324,1.7256752,6.3280087
6.712217,1.9782104,36.99469,2.0922856,-60.50439,11.857605,45.88796,6.01282,46.61803
16.683317,1.245081,58.086693,8.016584,-74.15566,14.873697,44.615585,7.6003146,96.21243
26.092443,0.6441076,29.723864,14.533863,-74.1255,9.013706,38.94389,7.447734,53.769115
21.518328,1.5732003,46.61279,6.124725,-65.36533,9.254771,59.17705,6.6278405,80.85516
22.84071,0.49386352,90.3653,8.324292,-70.56209,7.4017887,79.30089,7.191466,62.524796
6.043998,1.4918576,30.05514,1.1850781,-51.46499,13.207818,82.64948,2.6009853,26.4964
21.464836,2.4745777,33.35034,3.1446815,-15.628143,7.322616,43.43933,5.5820184,13.712391
10.011208,1.1219331,16.527115,1.1653945,-31.83123,9.426657,53.74423,2.3086905,14.929125
34.12606,2.323981,46.566353,5.079902,-19.357285,2.8600614,108.76364,2.5595326,26.435228
34.748947,2.4507966,38.09624,9.779881,-27.170273,10.339646,76.41827,2.2859068,13.52509
35.638184,2.9995232,55.922985,11.190795,-67.071,3.7314157,339.22586,1.3092141,170.57289
38.847816,2.9998963,16.790138,8.348058,-30.269836,10.753215,228.31175,0.5388027,58.50757
38.534542,2.997486,21.75466,8.411765,-18.70285,13.447792,396.96085,0.4397044,99.3999
15.0369215,0.049554706,48.05129,17.674824,-49.051823,10.814911,85.42049,9.999923,59.320736
39.24435,1.8928151,19.331154,11.279399,-44.10604,10.721138,123.103935,1.6211646,161.80289
25.57031,1.8315725,6.510519,3.6912189,-14.8552475,3.555651,34.168377,1.2828739,5.0289893
38.012463,2.55176,44.924408,11.716567,-14.546043,8.857946,114.58496,2.9020698,70.51573
6.02738,0.88618135,5.976457,1.3751273,-22.239616,14.997326,52.62584,1.1601818,5.0006576
32.874146,0.3168105,5.3989224,9.371547,-14.886543,7.065571,12.1189,0.64866346,8.234964
17.783983,2.675699,8.471336,3.1086822,-13.733627,6.834795,26.543787,2.8670201,11.942303
3.6987107,2.9049187,9.504519,1.271197,-23.809784,12.895989,39.422707,3.3396504,20.168266
3.3965044,2.53526,32.087364,3.5917242,-70.70469,14.974457,102.568436,4.4801936,71.158615
25.314676,2.2515,10.751751,4.3430333,-5.6702805,6.1665764,38.781357,2.0289607,9.687918
3.2614417,1.7999285,23.85919,4.1319656,-70.825714,14.982931,44.51252,9.033487,35.694748
